	cope_ct	cope2_zstat_std	cope2_zstat_mean	cope3_zstat_std	cope3_zstat_mean	cope4_zstat_std	cope4_zstat_mean	cope5_zstat_std	cope5_zstat_mean	cope6_zstat_std	cope6_zstat_mean	cope7_zstat_std	cope7_zstat_mean	cope8_zstat_std	cope8_zstat_mean	cope9_zstat_std	cope9_zstat_mean	cope10_zstat_std	cope10_zstat_mean	cope11_zstat_std	cope11_zstat_mean	cope12_zstat_std	cope12_zstat_mean	cope13_zstat_std	cope13_zstat_mean	cope14_zstat_std	cope14_zstat_mean	cope15_zstat_std	cope15_zstat_mean	cope16_zstat_std	cope16_zstat_mean	cope17_zstat_std	cope17_zstat_mean	cope1_zstat_std	cope1_zstat_mean
sub-054	17	-0.026260	0.590918	-0.024076	0.578074	0.089562	0.548703	0.039583	0.566249	0.023281	0.573551	-0.058523	0.512491	-0.014830	0.549367	-0.042556	0.543575	0.060547	0.508491	0.025727	0.542166	0.049986	0.538539	0.011145	0.581582	-0.053839	0.482703	0.053839	0.482703	0.044176	0.476667	-0.044176	0.476667	-0.087719	0.568672
sub-055	17	-0.053008	0.573438	-0.085120	0.563527	-0.012769	0.549425	0.060810	0.572009	0.105408	0.575069	0.079237	0.550142	0.009339	0.568072	0.049675	0.573743	-0.081390	0.544073	-0.016205	0.557820	-0.054921	0.565466	0.106030	0.590785	0.071637	0.488284	-0.071637	0.488284	-0.066287	0.483459	0.066287	0.483459	0.027386	0.559288
sub-056	17	-0.060838	0.547179	0.033750	0.628045	0.051979	0.546661	0.065938	0.532218	-0.039183	0.613590	-0.055786	0.523884	-0.051621	0.566259	-0.058650	0.558426	0.058500	0.514651	0.058607	0.559070	0.064260	0.548893	-0.047164	0.639517	-0.008663	0.477010	0.008663	0.477010	0.004061	0.477107	-0.004061	0.477107	-0.053740	0.566023
sub-057	17	0.051742	0.612905	0.135995	0.593666	0.078705	0.586853	-0.058017	0.593978	-0.148879	0.600352	-0.153236	0.609085	-0.050993	0.511353	-0.114027	0.558656	0.155158	0.607481	0.053954	0.499774	0.117197	0.552939	-0.168683	0.628627	-0.126759	0.588027	0.126759	0.588027	0.124162	0.581780	-0.124162	0.581780	-0.085479	0.617266
sub-058	17	0.042449	0.515005	-0.075463	0.567752	0.001564	0.489285	-0.038931	0.501500	0.084178	0.576771	0.055545	0.511767	0.078392	0.576058	0.077905	0.567215	-0.056515	0.504372	-0.079982	0.565170	-0.079387	0.556510	0.091175	0.594409	-0.032323	0.469107	0.032323	0.469107	0.032459	0.468238	-0.032459	0.468238	0.004068	0.487302
sub-059	17	-0.040304	0.514351	-0.151974	0.599404	0.063473	0.467753	0.061184	0.509208	0.168756	0.615548	0.062550	0.451275	0.072657	0.473136	0.077510	0.465404	-0.057729	0.450035	-0.067311	0.467559	-0.072171	0.461569	0.166196	0.614575	-0.026190	0.456496	0.026190	0.456496	0.025150	0.454897	-0.025150	0.454897	-0.044924	0.461776
sub-060	0.0																																		
sub-061	17	0.029741	0.472688	-0.118445	0.550074	-0.046851	0.522240	-0.022375	0.453556	0.116876	0.545853	0.114851	0.542654	0.091405	0.514271	0.114933	0.537561	-0.113343	0.543317	-0.085125	0.510234	-0.110841	0.533419	0.113514	0.546850	0.013616	0.488104	-0.013616	0.488104	-0.019098	0.494976	0.019098	0.494976	0.047704	0.522920
sub-062	17	0.072204	0.648528	-0.073879	0.516848	0.047702	0.535620	-0.055192	0.636003	0.096087	0.538101	0.016642	0.488851	0.102509	0.557172	0.065123	0.496200	-0.027147	0.485627	-0.103751	0.562225	-0.071918	0.498295	0.091859	0.542370	-0.091317	0.615128	0.091317	0.615128	0.080405	0.609995	-0.080405	0.609995	-0.042807	0.552156
sub-063	17	-0.009534	0.666039	0.040998	0.511974	0.030140	0.542378	0.012375	0.659085	-0.047154	0.508595	-0.051051	0.559523	-0.027049	0.651677	-0.046849	0.620623	0.057240	0.558738	0.033036	0.650047	0.053895	0.620157	-0.059721	0.543504	-0.024749	0.565363	0.024749	0.565363	0.024474	0.564325	-0.024474	0.564325	-0.026277	0.550020
sub-064	17	-0.119450	0.643182	-0.058643	0.569368	0.011441	0.525036	0.124881	0.620954	0.062129	0.563915	0.049895	0.576707	-0.048719	0.560050	-0.000416	0.572866	-0.036763	0.573528	0.051888	0.548883	0.009595	0.570611	0.053180	0.587460	0.110682	0.557502	-0.110682	0.557502	-0.097540	0.529452	0.097540	0.529452	0.007126	0.532897
sub-065	17	-0.020741	0.511544	-0.101129	0.619258	0.054566	0.513919	0.027040	0.502782	0.111741	0.601405	0.022784	0.483721	0.044446	0.514793	0.037802	0.503927	-0.022737	0.479060	-0.047156	0.509693	-0.039389	0.497687	0.108444	0.606294	-0.022862	0.479830	0.022862	0.479830	0.025058	0.480050	-0.025058	0.480050	-0.045103	0.517252
sub-066	17	-0.020114	0.532307	-0.041810	0.515796	0.033769	0.541813	0.015905	0.530382	0.023289	0.506015	-0.008986	0.477340	0.016133	0.471662	0.005570	0.479018	0.017576	0.477089	-0.007404	0.471711	0.004056	0.478731	0.024667	0.528525	-0.021477	0.438410	0.021477	0.438410	0.021031	0.438397	-0.021031	0.438397	-0.036398	0.549916
sub-067	17	0.014931	0.487783	-0.076171	0.605635	-0.212964	0.672429	-0.015921	0.489696	0.064203	0.580569	0.214478	0.651162	0.050860	0.515028	0.148146	0.582122	-0.213122	0.651818	-0.045590	0.521087	-0.144639	0.585260	0.067018	0.589609	0.176077	0.598088	-0.176077	0.598088	-0.177272	0.598143	0.177272	0.598143	0.205551	0.675669
sub-068	17	0.114141	0.596515	0.015515	0.435540	-0.043061	0.616816	-0.093534	0.583607	-0.011023	0.425197	0.043524	0.544002	0.082881	0.562950	0.069268	0.552290	-0.034512	0.539062	-0.068501	0.558650	-0.056278	0.547943	0.005920	0.433560	-0.026649	0.554303	0.026649	0.554303	0.021396	0.550297	-0.021396	0.550297	0.057475	0.633901
