	img_vol_task-training_run-1	anat_task-training_run-1	epi_task-training_run-1	sdc_task-training_run-1	fd_spikes_9mm_task-training_run-1	fd_spikes_9mm_ct_task-training_run-1	fd_max_task-training_run-1	fd_min_task-training_run-1	fd_3mm_check_task-training_run-1	fd_3mm_frame_ct_task-training_run-1	img_vol_task-training_run-2	anat_task-training_run-2	epi_task-training_run-2	sdc_task-training_run-2	fd_spikes_9mm_task-training_run-2	fd_spikes_9mm_ct_task-training_run-2	fd_max_task-training_run-2	fd_min_task-training_run-2	fd_3mm_check_task-training_run-2	fd_3mm_frame_ct_task-training_run-2	img_vol_task-training_run-3	anat_task-training_run-3	epi_task-training_run-3	sdc_task-training_run-3	fd_spikes_9mm_task-training_run-3	fd_spikes_9mm_ct_task-training_run-3	fd_max_task-training_run-3	fd_min_task-training_run-3	fd_3mm_check_task-training_run-3	fd_3mm_frame_ct_task-training_run-3	img_vol_task-training_run-4	anat_task-training_run-4	epi_task-training_run-4	sdc_task-training_run-4	fd_spikes_9mm_task-training_run-4	fd_spikes_9mm_ct_task-training_run-4	fd_max_task-training_run-4	fd_min_task-training_run-4	fd_3mm_check_task-training_run-4	fd_3mm_frame_ct_task-training_run-4
sub-033	233				pass	0	0.3978547	0.017534851299999998	pass	228	233				pass	0	0.33616725	0.013785500000000004	pass	231	233				pass	0	0.5566118	0.01516790499999999	pass	224	233				pass	0	0.6616291000000001	0.031066599999999944	pass	217
sub-034	233				pass	6	1.7747465	0.03877473008736999	fail	162	233				pass	2	1.056177935	0.035292915000000015	pass	200	233				pass	0	0.80054165	0.016549700000000004	pass	217	233				pass	14	2.812073455	0.0490592	fail	165
sub-035	233				pass	0	0.7344699999999998	0.0462282103	pass	180	233				pass	0	0.7576897099999998	0.05606025999999998	fail	163	233				pass	0	0.6276510000000001	0.02103704	pass	201	233				pass	3	1.9865138	0.03926650000000007	fail	160
sub-036	233				pass	0	0.65407855	0.030572078189999987	pass	218	233				pass	3	3.381828500000001	0.02775310000000004	pass	206	233				pass	2	2.4740214499999995	0.033474050000000005	pass	206	233				pass	0	0.7861080400000001	0.028998500000000007	pass	199
sub-037	233				pass	0	0.4481396200000001	0.010333750000000008	pass	229	233				pass	0	0.42567741066	0.01860700000000004	pass	230	233				pass	0	0.2320631000000001	0.017040769732593997	pass	232	233				pass	0	0.4000835	0.02479509999999996	pass	228
sub-038	233				pass	1	1.1069653999999998	0.0201848	pass	181	233				pass	0	0.6584026900000001	0.022465799999999963	pass	203	233				pass	0	0.50596134	0.03066599999999999	pass	221	233				pass	0	0.581280815	0.019447899999999976	pass	213
sub-039	233				pass	13	2.7696940000000003	0.035586500000000035	fail	132	233				pass	12	2.6794583999999997	0.04144455000000018	fail	155	233				pass	15	2.8888739999999995	0.029489300000000006	fail	127	233				pass	8	1.47024861	0.04671740000000001	fail	157
sub-040	233				pass	22	4.9591335	0.029250809140782992	fail	148	233				pass	0	0.42263778	0.016921699999999994	pass	229	233				pass	0	0.4489338	0.015281700000000025	pass	229	233				pass	0	0.5377715000000001	0.03093474999999997	pass	224
sub-041	233				pass	0	0.5976194949999999	0.012627649999999971	pass	223	233				pass	0	0.45675147	0.02099045	pass	227	233				pass	0	0.43631135	0.02623955	pass	226	233				pass	0	0.4948025	0.01215029	pass	228
sub-042	233				pass	2	1.103338	0.020625499999999984	fail	152	233				pass	13	1.2636372400000002	0.011785599999999988	fail	146	233				pass	0	0.6078849500000001	0.0066379050000000255	pass	198	233				pass	0	0.31824085	0.010180899999999968	pass	230
sub-043	233				pass	0	0.29127366	0.026689049999999964	pass	232	233				pass	0	0.36172129999999997	0.0160006	pass	228	233				pass	0	0.60164635	0.02003650000000001	pass	215	233				pass	0	0.5758509	0.01880608	pass	221
sub-044	233				pass	0	0.5025025499999999	0.018347849999999985	pass	224	233				pass	0	0.3284828750000001	0.011530649999999995	pass	231	233				pass	0	0.35772395	0.01736171500000001	pass	230	233				pass	0	0.38988608	0.02410870000000001	pass	230
sub-045	233				pass	2	1.069199	0.01370515	pass	211	233				pass	2	1.50849265	0.019254730000000005	pass	210	233				pass	0	0.38359274	0.013551209999999996	pass	225	233				pass	2	1.02900045	0.022944569999999987	pass	220
sub-046	233				pass	1	0.9006330000000001	0.038668499999999946	pass	195	233				pass	0	0.48512243	0.042506665000000006	pass	223	233				pass	1	1.6032494999999998	0.02722804	pass	227	233				pass	0	0.46278981	0.03242281	pass	226
sub-048	233				pass	0	0.40247653	0.04125485	pass	219	233				pass	0	0.7172729	0.02608940000000001	pass	187	233				pass	0	0.7318328000000001	0.0303772	pass	197										
sub-050	233				pass	0	0.3447918942	0.026575	pass	230	233				pass	0	0.36529295	0.0223191	pass	229	233				pass	0	0.39807455	0.03735489999999999	pass	228	233				pass	0	0.3275794	0.02427580000000001	pass	230
sub-051	233				pass	0	0.18650360000000002	0.01499449999999995	pass	232	233				pass	0	0.17274588	0.008702200000000009	pass	232	233				pass	0	0.41870755	0.016044600000000006	pass	230	233				pass	0	0.41797125	0.013951200000000004	pass	228
sub-052																																								
sub-053	233				pass	0	0.738837	0.016045600000000004	pass	218	233				pass	0	0.37011445	0.01881320000000001	pass	229	233				pass	0	0.39278215	0.016951500000000005	pass	229	233				pass	0	0.2601164645	0.015380199999999969	pass	232
sub-054	233				pass	4	2.1212120999999997	0.04396000000000026	pass	210	233				pass	1	1.190272532	0.0379039	pass	220	233				pass	0	0.7248823999999999	0.022966099999999996	pass	201	233				pass	0	0.6481561	0.04495878499999999	pass	191
sub-055	233				pass	0	0.3746831	0.03032619	pass	225	233				pass	0	0.4735473400000001	0.028434585000000005	pass	224	233				pass	0	0.26742698	0.0107479	pass	232	233				pass	0	0.2708201100000001	0.02003817	pass	232
sub-056	233				pass	0	0.35694096	0.014256100000000002	pass	229	233				pass	0	0.35974597	0.010409800000000068	pass	231	233				pass	0	0.389437	0.01862911291943	pass	231	233				pass	0	0.3652958299999999	0.02529615000000001	pass	224
sub-057	233				pass	0	0.7824142	0.04668155000000001	fail	147	233				pass	0	0.77855249	0.02175965	pass	198	233				pass	0	0.4719628999999999	0.032421400000000065	pass	208	233				pass	0	0.7869786	0.033030756999999994	pass	192
sub-058	233				pass	0	0.34787681000000004	0.019680990000000016	pass	231	233				pass	0	0.47072246700000003	0.003564930000000001	pass	229	233				pass	0	0.2818892885	0.008165990000000005	pass	232	233				pass	0	0.317935475	0.0052764000000000075	pass	231
sub-059	233				pass	3	1.6671526	0.04334666000000001	fail	173	233				pass	2	1.15311569	0.03715998000000001	pass	197	233				pass	1	1.11796485	0.017436049999999974	pass	198	233				pass	4	1.030591534	0.037995899999999985	fail	169
sub-060	233				pass	1	0.9650072000000001	0.01842885000000001	pass	193	233				pass	1	0.9040331999999998	0.04716015999999997	fail	168																				
sub-061	233				pass	1	1.0833628	0.0270539	pass	216	233				pass	0	0.6071842	0.028697599999999983	pass	207	233				pass	0	0.63285886	0.02145283	pass	212	233				pass	0	0.5513398	0.011372929999999988	pass	212
sub-062	233				pass	0	0.34630370000000005	0.0251297	pass	228	233				pass	0	0.476734	0.023285149999999977	pass	223	233				pass	0	0.4627672000000001	0.015761919999999995	pass	218	233				pass	0	0.53769686	0.012541899999999993	pass	226
sub-063	233				pass	1	1.0376185000000002	0.028090020000000045	fail	159	233				pass	0	0.45238885	0.04313866	pass	195	233				pass	3	1.1646775	0.04897969999999999	fail	161	233				pass	1	1.3531975000000005	0.00572425000000008	pass	176
sub-064	233				pass	0	0.50587464	0.007760200000000006	pass	224	233				pass	0	0.5064405000000001	0.02843651000000005	pass	218	233				pass	0	0.5280092	0.02386635	pass	225	233				pass	0	0.3321225	0.012745500000000031	pass	227
sub-065	233				pass	0	0.56676683	0.03217390000000005	pass	218	233				pass	0	0.5466121800000001	0.008373799999999997	pass	227	233				pass	1	1.40421935	0.014770409999999998	pass	223	233				pass	0	0.823857	0.0150628	pass	221
sub-066	233				pass	0	0.5511109999999999	0.0206102	pass	227	233				pass	0	0.377684	0.020938499999999985	pass	230	233				pass	0	0.29954455	0.012966899999999984	pass	232	233				pass	0	0.30286823	0.017470849999999982	pass	231
sub-067	233				pass	3	1.19750005	0.03582913999999998	fail	115	233				pass	0	0.7973648500000001	0.06476992999999999	fail	152	233				pass	2	0.9757493	0.03869045	fail	147	233				pass	1	1.2347604	0.0718492	fail	147
sub-068	233				pass	0	0.25361782	0.009147200000000001	pass	232	233				pass	0	0.28172897350000004	0.010391099999999992	pass	232	233				pass	0	0.4165675999999999	0.012516149999999974	pass	230	233				pass	2	1.1023290000000001	0.010668850000000023	pass	222
sub-070	233				fail	72	5.966343000000001	0.059533400000000014	fail	52	233				pass	25	2.5147089000000005	0.02200110000000001	fail	119	233				pass	22	3.4546975	0.04536695	fail	107	233				pass	18	2.4541565000000003	0.033688320000000015	fail	143
sub-071	233				pass	0	0.47137299	0.011419949999999979	pass	230	233				pass	0	0.42030425	0.023137	pass	226	233				pass	0	0.39392973	0.017483500000000003	pass	231	233				pass	2	1.674900333	0.02711118400000001	pass	225
sub-072	233				pass	0	0.4881235350000001	0.02979947999999997	pass	227	233				pass	1	1.1087378	0.02678181000000001	pass	216	233				pass	0	0.60180735	0.018559232630000002	pass	216	233				pass	1	0.99911672	0.025366200000000002	pass	222
sub-073	233				pass	1	1.1049385	0.035673199999999974	pass	191	233				pass	0	0.8287079400000001	0.015249081000000006	pass	176	233				pass	0	0.6433713999999999	0.041602199999999985	pass	190										
sub-074																																								
sub-075	233				pass	24	2.2289920000000003	0.04403699999999997	fail	115	233				pass	17	2.489798965	0.033780300000000006	fail	154	233				pass	0	0.89198833	0.02329011000000001	pass	196	233				pass	21	2.10006635	0.02575379999999997	fail	148
sub-076	233				pass	0	0.4318589	0.020212837000000004	pass	231	233				pass	0	0.5652206	0.020944899999999995	pass	219	233				pass	0	0.7110088000000001	0.036117500000000004	pass	177										
sub-077	233				pass	0	0.7117521	0.014050499999999836	pass	202	233				pass	0	0.766467	0.022251999999999963	pass	204	233				pass	1	0.9001946999999999	0.02329999999999997	pass	200	233				pass	0	0.87105335	0.020600949999999986	pass	198
sub-078	233				pass	0	0.385660425	0.022887845	pass	223	233				pass	0	0.32712924	0.021443000000000014	pass	230	233				pass	0	0.3930185	0.015924299999999975	pass	231	233				pass	0	0.52356645	0.025391869999999983	pass	228
sub-079	233				pass	0	0.72374753	0.02634066	pass	208	233				pass	0	0.42842255	0.015540409483932984	pass	225	233				pass	0	0.600094363	0.017649080000000008	pass	221	233				pass	0	0.68234535	0.01988325000000001	pass	225
sub-080	233				pass	0	0.564556595	0.029814835000000005	pass	210	233				pass	0	0.4998015650000001	0.017858350000000002	pass	216	233				pass	0	0.6479185999999999	0.028602200000000005	pass	219	233				pass	0	0.5085661899999999	0.02169295499999997	pass	206
sub-082	233				pass	0	0.1974332000000001	0.009509800000000028	pass	232	233				pass	0	0.21043880000000004	0.009822700000000005	pass	232	233				pass	0	0.17825874	0.018955865000000016	pass	232	233				pass	0	0.18873975	0.013602099999999995	pass	232
sub-083	233				pass	2	1.2562378	0.033051049999999985	fail	154	233				pass	1	0.9395057999999998	0.04933625999999997	pass	197	233				pass	1	1.21234128	0.04011714999999996	pass	179	233				pass	0	0.5592426500000001	0.046149799999999935	pass	180
sub-084	233				pass	2	1.23384236	0.050156099999999836	fail	170	233				pass	0	0.8279312299999999	0.010865660000000013	pass	190	233				pass	0	0.588971555	0.02441235	pass	193	233				pass	1	1.1044071999999998	0.018481699999999983	pass	191
sub-085	233				pass	0	0.6389224	0.02053710000000009	pass	226	233				pass	0	0.43490325	0.028200535	pass	222	233				pass	0	0.43126099999999995	0.0066595634999999966	pass	228	233				pass	0	0.4185780800000001	0.019284099999999967	pass	215
sub-086	233				pass	2	1.20701118	0.029682611	pass	197	233				pass	0	0.416086175	0.013491499999999984	pass	226	233				pass	0	0.49940604	0.02716940000000004	pass	220	233				pass	0	0.41476625	0.03438552	pass	220
sub-087	233				pass	0	0.43082615	0.024999	pass	221	233				pass	0	0.381962895	0.016710029999999994	pass	222	233				pass	0	0.48991975	0.043658450000000015	pass	221	233				pass	0	0.46344645	0.0246505	pass	226
sub-088	233				pass	0	0.8049733000000001	0.018957249999999967	pass	213	233				pass	0	0.80899887	0.018466099999999985	pass	220	233				pass	0	0.454800915	0.017548000000000022	pass	226	233				pass	0	0.42881972	0.0205329315	pass	226
sub-089	233				pass	0	0.7139316	0.007548406999999998	pass	200	233				pass	0	0.7288943	0.02183888	pass	206	233				pass	1	0.918731075	0.02536960000000001	pass	191	233				pass	2	0.9993328000000001	0.032222335000000005	fail	162
sub-090	233				pass	0	0.6133645300000001	0.011059800000000015	pass	225	233				pass	0	0.29479584	0.017543109999999962	pass	232	233				pass	0	0.26170416	0.02536599	pass	232	233				pass	0	0.31445425	0.01620284500000001	pass	230
sub-091	233				pass	2	2.2388535	0.022427400000000042	fail	165	233				pass	1	0.9284474150000002	0.01581525000000002	fail	174	233				pass	0	0.7831818499999998	0.008175749999999996	pass	176	233				pass	0	0.59580565	0.015532999999999991	pass	194
sub-092	233				pass	0	0.32892195	0.011669716420000005	pass	230	233				pass	0	0.26610595	0.012748950000000005	pass	232	233				pass	0	0.31792302	0.0244081	pass	229	233				pass	0	0.35048635	0.019509084	pass	229
sub-093	233				pass	0	0.1925698	0.007776749999999982	pass	232	233				pass	0	0.1903359	0.01469843	pass	232	233				pass	0	0.18897985	0.009454716340000002	pass	232	233				pass	0	0.1717444	0.015955800000000006	pass	232
sub-094																																								
sub-095	233				pass	0	0.28537422	0.0017948000000000007	pass	232	233				pass	0	0.34572679999999995	0.010717139850000005	pass	228	233				pass	0	0.26464604065	0.009672149999999996	pass	232	233				pass	0	0.226356195	0.014437849999999988	pass	232
sub-096	233				pass	0	0.4514085	0.014443400000000037	pass	227	233				pass	0	0.4634495000000001	0.01424075	pass	228	233				pass	0	0.3922469	0.023039799999999992	pass	223	233				pass	0	0.6114610650000001	0.010603375000000002	pass	221
sub-097	233				pass	0	0.48188804	0.019433659	pass	228	233				pass	0	0.2594193552	0.0037050490999999946	pass	232	233				pass	0	0.54447865	0.022231249999999963	pass	225	233				pass	0	0.34105915000000003	0.01797897	pass	230
sub-098	233				pass	0	0.4860062000000001	0.015873400000000003	pass	219	233				pass	0	0.8296828499999999	0.022416569999999983	pass	222	233				pass	0	0.29301534	0.01687744	pass	232	233				pass	0	0.278419509	0.024062750000000008	pass	232
sub-099	233				pass	3	1.54317268	0.03154464999999999	pass	177	233				pass	2	1.011664	0.0252205	pass	184	233				pass	5	1.1778343999999998	0.015636499999999973	pass	201	233				pass	0	0.8765974999999999	0.03026620000000005	fail	160
sub-100	233				pass	1	0.9417274	0.049410699999999995	fail	173	233				pass	0	0.88625465	0.03443155000000001	fail	167	233				pass	0	0.515596548	0.038172255	pass	196	233				pass	2	3.5439059	0.04222389999999993	pass	191
sub-102	233				pass	6	1.05590615	0.021135159100000002	fail	156	233				pass	4	1.00411491	0.033639999500000003	pass	179	233				pass	1	0.9209054000000002	0.014313383899999997	pass	189	233				pass	6	1.02860045	0.015754709999999998	pass	183
sub-103	233				pass	1	0.904737945	0.03205158500000002	pass	188	233				pass	1	1.1307058049999998	0.02747520000000004	pass	193	233				pass	0	0.6540382999999999	0.02667015000000001	pass	190	233				pass	1	1.1984203000000002	0.06378200000000002	fail	151
sub-104	233				pass	8	1.7397682499999998	0.06301720000000001	fail	113	233				pass	3	1.148340825	0.03260899999999998	fail	174	233				pass	9	1.3845975999999998	0.06155290500000001	fail	129	233				pass	4	1.1910909	0.04644545000000001	fail	139
sub-107	233				pass	0	0.32917820000000003	0.027672450000000005	pass	229	233				pass	0	0.28864227	0.011984500000000004	pass	232	233				pass	0	0.37088499999999996	0.0239963	pass	231	233				pass	0	0.37828490000000004	0.01745470000000001	pass	231
sub-108	233				pass	31	2.61231608	0.03294749999999992	fail	102	233				pass	21	2.81833947	0.01803915	fail	116	233				pass	19	3.7725231	0.03080425999999997	fail	98	233				pass	28	3.9100089999999996	0.00802189999999995	fail	104
sub-109	233				pass	0	0.802931895	0.0174005	fail	173	233				pass	0	0.5718750349999999	0.03374900000000002	pass	200	233				pass	0	0.6764150999999999	0.03739845	pass	212	233				pass	0	0.8436334999999999	0.03627345	pass	197
sub-111	233				pass	0	0.4805775399999999	0.024724550000000005	pass	229	233				pass	2	2.3885011100000004	0.03555025	pass	213	233				pass	0	0.6824891299999999	0.013257360000000004	pass	214	233				pass	0	0.590521175	0.012157595	pass	226
sub-112	233				pass	0	0.6383299000000001	0.03880620000000018	pass	197	233				pass	0	0.48364077	0.012198428000000023	pass	225	233				pass	0	0.5753216	0.03437480999999998	pass	228	233				pass	0	0.68746052	0.03931722999999994	pass	212
sub-114	233				pass	0	0.25138885	0.013783200999999995	pass	232	233				pass	0	0.308383532	0.01678374999999999	pass	231	233				pass	0	0.2851641	0.0187125	pass	232	233				pass	0	0.26878005000000005	0.016689825	pass	232
sub-115	233				pass	5	7.027872599999999	0.019775149999999964	pass	184	233				pass	0	0.7830979500000002	0.024966060000000026	pass	209	233				pass	0	0.7075022000000001	0.04980080000000001	pass	200	233				pass	0	0.6574558999999999	0.027752974999999992	pass	207
sub-116	233				pass	2	1.6687722499999995	0.022140199999999884	pass	198	233				pass	13	2.5059037	0.034492250000000044	fail	147	233				pass	11	2.18447645	0.03286893000000005	fail	122	233				pass	10	1.66916567	0.048652600000000004	fail	143
sub-117	233				pass	0	0.3806712	0.01131869	pass	223	233				pass	0	0.4761516499999999	0.029358554999999988	pass	214	233				pass	0	0.6185340399999999	0.011905619999999995	pass	223	233				pass	2	1.06652008	0.02581725000000001	pass	188
sub-118	233				pass	0	0.45840355	0.009314100000000032	pass	226	233				pass	0	0.5292085999999999	0.03373539999999998	pass	224	233				pass	0	0.2947717800000001	0.026256279999999958	pass	232	233				pass	0	0.34367223	0.01872154999999997	pass	229
sub-119	233				pass	0	0.6296244999999999	0.013616882400000004	pass	226	233				pass	10	3.52561435	0.04799650000000008	fail	169	233				pass	1	1.0997465	0.030359700000000062	pass	206	233				pass	0	0.7143145000000001	0.032416950000000014	pass	184
sub-120	233				pass	2	1.21157215	0.04384550000000007	pass	207	233				pass	0	0.4895897000000001	0.01474389999999999	pass	229	233				pass	0	0.6172814839999999	0.030054400000000005	pass	210	233				pass	0	0.46525345	0.015430200000000022	pass	222
sub-121	233				pass	0	0.6148387	0.008777799999999994	pass	196	233				pass	10	3.7126527	0.027193455	pass	179	233				pass	9	2.8639491499999994	0.013430700000000007	pass	180	233				pass	19	20.6594795	0.04509135000000001	fail	166
sub-123	233				pass	8	1.3334609999999998	0.03800400000000018	fail	152	233				pass	3	2.05218745	0.028603499999999882	fail	159	233				pass	0	0.7081012950000001	0.03644503	pass	189	233				pass	0	0.80721131	0.018601599999999968	pass	180
sub-124	233				pass	0	0.4805455	0.015545025	pass	229	233				pass	0	0.27679615	0.019893429999999983	pass	232	233				pass	0	0.4026094000000001	0.013546650000000023	pass	227	233				pass	0	0.303919	0.012017419999999996	pass	230
sub-127	233				pass	31	2.61231608	0.03294749999999992	fail	102	233				pass	21	2.81833947	0.01803915	fail	116	233				pass	19	3.7725231	0.03080425999999997	fail	98	233				pass	28	3.9100089999999996	0.00802189999999995	fail	104
sub-128																																								
sub-129	233				pass	1	0.9620568000000002	0.04395011	pass	175	233				pass	7	1.2000534999999999	0.06667434999999998	fail	151	233				pass	2	0.9621841999999998	0.02345905	fail	156	233				pass	4	1.4970105	0.03750350000000007	fail	161
