	img_vol_task-training_run-1	anat_task-training_run-1	epi_task-training_run-1	sdc_task-training_run-1	fd_spikes_9mm_task-training_run-1	fd_spikes_9mm_ct_task-training_run-1	fd_max_task-training_run-1	fd_min_task-training_run-1	fd_3mm_check_task-training_run-1	fd_3mm_frame_ct_task-training_run-1	img_vol_task-training_run-2	anat_task-training_run-2	epi_task-training_run-2	sdc_task-training_run-2	fd_spikes_9mm_task-training_run-2	fd_spikes_9mm_ct_task-training_run-2	fd_max_task-training_run-2	fd_min_task-training_run-2	fd_3mm_check_task-training_run-2	fd_3mm_frame_ct_task-training_run-2	img_vol_task-training_run-3	anat_task-training_run-3	epi_task-training_run-3	sdc_task-training_run-3	fd_spikes_9mm_task-training_run-3	fd_spikes_9mm_ct_task-training_run-3	fd_max_task-training_run-3	fd_min_task-training_run-3	fd_3mm_check_task-training_run-3	fd_3mm_frame_ct_task-training_run-3	img_vol_task-training_run-4	anat_task-training_run-4	epi_task-training_run-4	sdc_task-training_run-4	fd_spikes_9mm_task-training_run-4	fd_spikes_9mm_ct_task-training_run-4	fd_max_task-training_run-4	fd_min_task-training_run-4	fd_3mm_check_task-training_run-4	fd_3mm_frame_ct_task-training_run-4
sub-068	233				pass	0	0.447221795	0.017789060000000002	pass	227	233				pass	3	1.270329455	0.024444230000000008	pass	193	233				pass	0	0.8214696999999999	0.031550075	pass	193	233				pass	15	1.56965035	0.02444337700000001	fail	127
sub-070	233				pass	15	5.2535258	0.030275199999999988	fail	106	233				pass	22	3.6227936000000014	0.03151584999999996	fail	116	233				pass	17	8.547029199999999	0.03408410000000004	fail	118	233				pass	22	2.57032375	0.05955454999999998	fail	86
sub-071	233				pass	0	0.4417820800000001	0.02418459500000001	pass	228	233				pass	0	0.5113960999999999	0.025941900000000004	pass	222	233				pass	0	0.625685	0.039730655	pass	213	233				pass	0	0.35440935	0.0253641	pass	226
sub-072	233				pass	4	1.8608189999999998	0.02771865352	fail	168	233				pass	0	0.753183435	0.03991551200000002	pass	204	233				pass	4	2.44516838	0.03878870000000003	fail	161	233				pass	22	1.54374373	0.06591205000000007	fail	104
sub-073	233				pass	1	0.90420185	0.024413850000000008	pass	175	233				pass	6	1.7306827	0.027577299999999985	fail	158	233				pass	9	1.7057950000000002	0.04464319500000005	fail	138	233				pass	9	1.4519725	0.06548190999999996	fail	114
sub-074																																								
sub-075	233				pass	0	0.7831161	0.038373099999999986	pass	193																														
sub-076																																								
sub-077																																								
sub-078																																								
sub-079	233				pass	0	0.855587835	0.015075664499999999	pass	200	233				pass	0	0.7890406999999999	0.045162705	pass	213	233				pass	0	0.62375905	0.01728025000000001	pass	227	233				pass	0	0.65577545	0.017569701671548005	pass	222
sub-080	233				pass	0	0.49956993	0.0244783	pass	224	233				pass	0	0.3992445	0.020447700000000023	pass	219	233				pass	0	0.3792627499999999	0.0245234515	pass	225	233				pass	4	1.63099935	0.030164999999999997	pass	194
sub-082	233				pass	0	0.24973713499999994	0.00980440006798501	pass	232	233				pass	0	0.15987539999999995	0.004507850000000012	pass	232	233				pass	0	0.25211355	0.007411462	pass	232	233				pass	0	0.18747808079999997	0.00806935645	pass	232
sub-083	233				pass	3	1.0743955000000005	0.04753469999999999	fail	157	233				pass	2	1.1616548	0.03373494999999998	fail	147	233				pass	4	1.1345992	0.04986647999999999	fail	168	233				pass	4	1.0476023	0.0485519	fail	152
sub-084	233				pass	2	1.12962595	0.030843959999999983	fail	165	233				pass	0	0.8692158000000001	0.0328834	pass	175	233				pass	2	1.05895153	0.02762908000000001	pass	192	233				pass	1	0.90938215	0.03968414900000005	pass	187
sub-085	233				pass	0	0.38452115	0.0260124	pass	231	233				pass	0	0.21350663000000009	0.0172821021	pass	232	233				pass	0	0.3108154	0.013396399999999992	pass	231	233				pass	0	0.27790285	0.004942749300000001	pass	232
sub-086	233				pass	0	0.41758475100000003	0.024053999999999992	pass	230	233				pass	0	0.351105225	0.023773049999999983	pass	229	233				pass	0	0.5151705	0.021305799999999986	pass	228	233				pass	0	0.59352832	0.0014825899999999874	pass	226
sub-087	233				pass	0	0.4391774000000001	0.035042500000000004	pass	217																														
sub-088	233				pass	0	0.2900661600000001	0.009529599999999996	pass	232	233				pass	0	0.43286973	0.011499263999999985	pass	229	233				pass	0	0.2522002	0.027313899999999967	pass	232	233				pass	0	0.32329785	0.020636220000000025	pass	231
sub-089	233				pass	7	2.9201857500000004	0.0253995739	fail	149	233				pass	1	1.14037225	0.03502092714	pass	188	233				pass	0	0.8704014999999999	0.04137630000000001	pass	175	233				pass	0	0.6935660600000001	0.039088715	pass	197
sub-090	233				pass	0	0.25687576500000003	0.018457500000000057	pass	232	233				pass	0	0.220253975	0.016231620000000006	pass	232	233				pass	0	0.23385155	0.015280000000000031	pass	232	233				pass	0	0.225559295	0.017594825000000015	pass	232
sub-091																																								
sub-092	233				pass	0	0.31159826949999997	0.0219259	pass	231	233				pass	0	0.4389891200000001	0.005711458299999996	pass	231	233				pass	0	0.28363255	0.02281085	pass	232	233				pass	0	0.312984075	0.03052369	pass	231
sub-093																																								
sub-094																																								
sub-095	233				pass	0	0.30629048	0.011157600000000012	pass	230	233				pass	0	0.24488315	0.0040654300000000036	pass	232	233				pass	0	0.2344975	0.013641349999999988	pass	232	233				pass	0	0.38997	0.0026347673852144967	pass	231
sub-096	233				pass	0	0.35889430999999994	0.017280550000000013	pass	230	233				pass	0	0.5043020500000001	0.01182710000000004	pass	224	233				pass	0	0.32409010000000005	0.008306499999999994	pass	231	233				pass	0	0.49896375	0.01133400000000004	pass	231
sub-097	233				pass	0	0.82845195	0.02662916	pass	220	233				pass	0	0.45012235	0.017357749999999988	pass	229	233				pass	0	0.8816323899999999	0.02245798	pass	227	233				pass	0	0.745171735	0.015912115000000008	pass	223
sub-098	233				pass	0	0.337708202	0.018144549999999964	pass	229	233				pass	0	0.33542152	0.020660729999999995	pass	230	233				pass	0	0.27508395	0.0201833	pass	232	233				pass	0	0.28091019799999994	0.0209775721	pass	232
sub-099	233				pass	3	1.2168738200000002	0.02248871500000001	pass	188	233				pass	1	1.0254517500000002	0.01925007	pass	197	233				pass	9	1.4654958999999999	0.012446100000000005	pass	188	233				pass	1	1.1909465	0.02986505000000005	pass	187
